Causa - CID-BR-10,UF,Obitos
. 063 Restante das doenças do sistema nervoso,AM,1115
064 DOENÇAS DOS OLHOS E ANEXOS,AM,3
065 DOENÇAS DO OUVIDO E DA APÓFISE MASTÓIDE,AM,26
066-072 DOENÇAS DO APARELHO CIRCULATÓRIO,AM,23337
. 066 Febre reumát aguda e doen reum crôn coração,AM,132
. 067 Doenças hipertensivas,AM,4356
. 068 Doenças isquêmicas do coração,AM,6171
... 068.1 Infarto agudo do miocárdio,AM,5197
. 069 Outras doenças cardíacas,AM,3769
. 070 Doenças cerebrovasculares,AM,8250
. 071 Aterosclerose,AM,12
. 072 Rest doenças do aparelho circulatório,AM,647
073-077 DOENÇAS DO APARELHO RESPIRATÓRIO,AM,10874
. 073 Influenza (gripe),AM,348
. 074 Pneumonia,AM,5605
. 075 Out infec agudas das vias aéreas inferiores,AM,134
... 075.1 Bronquiolite,AM,92
. 076 Doenças crônicas das vias aéreas inferiores,AM,2429
... 076.1 Asma,AM,125
. 077 Restante  doenças do aparelho respiratório,AM,2358
078-082 DOENÇAS DO APARELHO DIGESTIVO,AM,5183
". 078 Úlcera gástrica, duodenal e péptica",AM,189
. 079 Peritonite,AM,278
. 080 Doenças do fígado,AM,2069
... 080.1 Doença alcoólica do fígado,AM,682
... 080.2 Fibrose e cirrose do fígado,AM,816
... 080.3 Outras doenças do fígado,AM,571
. 081 Colecistite,AM,111
. 082 Rest doenças do aparelho digestivo,AM,2536
083 DOENÇAS DA PELE E TECIDO SUBCUTÂNEO,AM,391
084 DOENÇAS SIST OSTEOMUSC E TECIDO CONJUNTIVO,AM,555
085-087 DOENÇAS DO APARELHO GENITURINÁRIO,AM,2697
. 085 D glomerulares e d renais túbulo-interstic,AM,246
. 086 Insuficiência renal,AM,1236
. 087 Rest doenças do aparelho geniturinário,AM,1215
"088-092 GRAVIDEZ, PARTO E PUERPÉRIO",AM,421
. 088 Gravidez que termina em aborto,AM,34
. 089 Outras causas obstétricas diretas,AM,191
. 090 Causas obstétricas indiretas,AM,160
. 091 Causa obstétrica não espec direta/indireta,AM,17
. 092 Causas maternas tardias e sequelas,AM,19
093-097 ALG AFECÇÕES ORIGIN NO PERÍODO PERINATAL,AM,3344
. 093 Feto e recemnasc afet fat mat e compl grav,AM,1042
. 094 Transt relac duração gestação e cresc fetal,AM,109
. 095 Traumatismo de parto,AM,12
. 096 Trans resp e cardiovas espec per perinatal,AM,1325
