DATE,CODE,RAW DATE,DAY,MONTH,YEAR,VALUE ((% a.m.))
2000-11-01,PRECOS12_IPCAAB12,2000-11-01T00:00:00-03:00,1,11,2000,-0.07
2000-12-01,PRECOS12_IPCAAB12,2000-12-01T00:00:00-02:00,1,12,2000,-0.48
2001-01-01,PRECOS12_IPCAAB12,2001-01-01T00:00:00-02:00,1,1,2001,0.63
2001-02-01,PRECOS12_IPCAAB12,2001-02-01T00:00:00-02:00,1,2,2001,0.05
2001-03-01,PRECOS12_IPCAAB12,2001-03-01T00:00:00-03:00,1,3,2001,1.17
2001-04-01,PRECOS12_IPCAAB12,2001-04-01T00:00:00-03:00,1,4,2001,1.8
2001-05-01,PRECOS12_IPCAAB12,2001-05-01T00:00:00-03:00,1,5,2001,0.58
2001-06-01,PRECOS12_IPCAAB12,2001-06-01T00:00:00-03:00,1,6,2001,0.1
2001-07-01,PRECOS12_IPCAAB12,2001-07-01T00:00:00-03:00,1,7,2001,0.67
2001-08-01,PRECOS12_IPCAAB12,2001-08-01T00:00:00-03:00,1,8,2001,0.83
2001-09-01,PRECOS12_IPCAAB12,2001-09-01T00:00:00-03:00,1,9,2001,0.39
2001-10-01,PRECOS12_IPCAAB12,2001-10-01T00:00:00-03:00,1,10,2001,1.15
2001-11-01,PRECOS12_IPCAAB12,2001-11-01T00:00:00-03:00,1,11,2001,1.31
2001-12-01,PRECOS12_IPCAAB12,2001-12-01T00:00:00-02:00,1,12,2001,0.56
2002-01-01,PRECOS12_IPCAAB12,2002-01-01T00:00:00-02:00,1,1,2002,0.85
2002-02-01,PRECOS12_IPCAAB12,2002-02-01T00:00:00-02:00,1,2,2002,0.2
2002-03-01,PRECOS12_IPCAAB12,2002-03-01T00:00:00-03:00,1,3,2002,0.39
2002-04-01,PRECOS12_IPCAAB12,2002-04-01T00:00:00-03:00,1,4,2002,-0.32
2002-05-01,PRECOS12_IPCAAB12,2002-05-01T00:00:00-03:00,1,5,2002,-0.59
2002-06-01,PRECOS12_IPCAAB12,2002-06-01T00:00:00-03:00,1,6,2002,0.08
2002-07-01,PRECOS12_IPCAAB12,2002-07-01T00:00:00-03:00,1,7,2002,1.05
2002-08-01,PRECOS12_IPCAAB12,2002-08-01T00:00:00-03:00,1,8,2002,1.94
